language,vulnerability_type,vulnerable_code,fixed_code
Java,Broken Authentication,"if(username.equals(""admin"") && password.equals(""password"")) { login(); }","if(UserService.authenticate(username, password)) { login(); } else { throw new SecurityException(""Invalid credentials""); }"
Java,Broken Authentication,"String token = request.getParameter(""token"");\nif(token.equals(""staticToken123"")) { loginUser(); }","String token = request.getParameter(""token"");\nif(token != null && TokenService.validateToken(token)) { loginUser(); } else { response.sendError(HttpServletResponse.SC_UNAUTHORIZED); }"
Java,Broken Authentication,"User user = userRepo.findByUsername(username);\nif(user.getPassword().equals(password)) { session.setAttribute(""user"", user); }","User user = userRepo.findByUsername(username);\nif(PasswordHasher.verifyPassword(password, user.getPasswordHash())) { session.setAttribute(""user"", user); } else { throw new SecurityException(""Invalid credentials""); }"
Java,Broken Authentication,"Cookie authCookie = new Cookie(""auth"", ""user123"");\nresponse.addCookie(authCookie);","Cookie authCookie = new Cookie(""auth"", TokenService.generateAuthToken(user));\nauthCookie.setHttpOnly(true);\nauthCookie.setSecure(true);\nresponse.addCookie(authCookie);"
Java,Broken Authentication,"if(request.getParameter(""loginMethod"").equals(""basic"")) { simpleLogin(); }","if(UserService.authenticate(request.getParameter(""username""), request.getParameter(""password""))) { simpleLogin(); } else { response.sendError(HttpServletResponse.SC_UNAUTHORIZED); }"
Java,Broken Authentication,"logger.info(""User: "" + username + "", Password: "" + password);","logger.info(""User: "" + username);"
Java,Broken Authentication,"if(request.getParameter(""key"") != null && request.getParameter(""key"").equals(""fixedKey"")) { performAction(); }","if(request.getParameter(""key"") != null && KeyValidator.validate(request.getParameter(""key""))) { performAction(); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Broken Authentication,"if(request.getParameter(""authToken"") != null && request.getParameter(""authToken"").equals(""static-token"")) { allowAccess(); }","if(request.getParameter(""authToken"") != null && TokenService.validateToken(request.getParameter(""authToken""))) { allowAccess(); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Broken Authentication,"// No account lockout mechanism\nif(UserStore.authenticate(username, password)) { login(); }","if(UserStore.authenticate(username, password)) {\n    if(!LockoutService.isLocked(username)) { login(); } else { throw new SecurityException(""Account locked""); }\n} else { throw new SecurityException(""Invalid credentials""); }"
Java,Broken Authentication,"if(request.getParameter(""token"") != null && request.getParameter(""token"").equals(""defaultToken"")) { proceed(); }","if(request.getParameter(""token"") != null && TokenService.validateToken(request.getParameter(""token""))) { proceed(); } else { response.sendError(HttpServletResponse.SC_UNAUTHORIZED); }"
Java,Broken Authentication,"String pwd = request.getParameter(""pwd"");\nif(pwd.equals(""pass123"")) { loginUser(); }","String pwd = request.getParameter(""pwd"");\nif(PasswordUtil.verifyPassword(pwd, user.getPasswordHash())) { loginUser(); } else { throw new SecurityException(""Invalid credentials""); }"
Java,Broken Authentication,"User user = userRepo.findByUsername(username);\nif(user.getPassword().equals(password)) { session.setAttribute(""user"", user); }","User user = userRepo.findByUsername(username);\nif(PasswordHasher.verifyPassword(password, user.getPasswordHash())) { session.setAttribute(""user"", user); } else { throw new SecurityException(""Authentication failed""); }"
Java,Broken Authentication,"Cookie authCookie = new Cookie(""auth"", ""hardcodedValue"");\nresponse.addCookie(authCookie);","Cookie authCookie = new Cookie(""auth"", TokenService.generateAuthToken(user));\nauthCookie.setHttpOnly(true);\nauthCookie.setSecure(true);\nresponse.addCookie(authCookie);"
Java,Broken Authentication,"if(request.getParameter(""token"") != null && request.getParameter(""token"").equals(""defaultToken"")) { proceed(); }","if(request.getParameter(""token"") != null && TokenService.validateToken(request.getParameter(""token""))) { proceed(); } else { response.sendError(HttpServletResponse.SC_UNAUTHORIZED); }"
Java,Broken Authentication,"loginService.loginDirect(username, password);","if(loginService.verifyPassword(username, password)) { loginService.login(username); } else { throw new SecurityException(""Login failed""); }"
Java,Broken Authentication,"userService.authenticate(request.getParameter(""user""), request.getParameter(""pass""));","if(userService.authenticate(request.getParameter(""user""), HashUtil.hashPassword(request.getParameter(""pass"")))) { login(); } else { throw new SecurityException(""Login failed""); }"
Java,Broken Authentication,"if(request.getParameter(""auth"").equals(""true"")) { initiateSession(); }","if(request.getParameter(""auth"") != null && AuthService.validateAuth(request.getParameter(""auth""))) { initiateSession(); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Broken Authentication,"if(request.getParameter(""key"") != null && request.getParameter(""key"").equals(""fixedKey"")) { access(); }","if(request.getParameter(""key"") != null && KeyValidator.validate(request.getParameter(""key""))) { access(); } else { response.sendError(HttpServletResponse.SC_FORBIDDEN); }"
Java,Broken Authentication,"User user = loginManager.login(request.getParameter(""user""), request.getParameter(""pwd""));","User user = loginManager.login(request.getParameter(""user""), HashUtil.hashPassword(request.getParameter(""pwd"")));\nif(user == null) { throw new SecurityException(""Invalid login""); }"
